
2024/09/11 (00:01:08) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/09/15 (11:44:02) | ===> btop++ v.1.3.2
2024/09/15 (11:44:02) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/09/16 (08:38:40) | ===> btop++ v.1.3.2
2024/09/16 (08:38:40) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/09/16 (08:52:26) | ===> btop++ v.1.3.2
2024/09/16 (08:52:26) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/09/16 (22:36:59) | ===> btop++ v.1.3.2
2024/09/16 (22:36:59) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/09/18 (13:50:19) | ===> btop++ v.1.3.2
2024/09/18 (13:50:19) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/09/21 (11:58:07) | ===> btop++ v.1.3.2
2024/09/21 (11:58:07) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/09/21 (15:50:36) | ===> btop++ v.1.3.2
2024/09/21 (15:50:36) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/09/22 (01:06:18) | ===> btop++ v.1.3.2
2024/09/22 (01:06:18) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/09/23 (23:48:22) | ===> btop++ v.1.4.0
2024/09/23 (23:48:22) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/09/23 (23:51:03) | ===> btop++ v.1.4.0
2024/09/23 (23:51:03) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/09/24 (19:39:27) | ===> btop++ v.1.4.0
2024/09/24 (19:39:27) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/09/26 (20:19:04) | ===> btop++ v.1.4.0
2024/09/26 (20:19:04) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/09/27 (15:10:16) | ===> btop++ v.1.4.0
2024/09/27 (15:10:16) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/10/03 (13:18:57) | ===> btop++ v.1.4.0
2024/10/03 (13:18:57) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/10/06 (13:52:48) | ===> btop++ v.1.4.0
2024/10/06 (13:52:48) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/10/06 (22:49:37) | ===> btop++ v.1.4.0
2024/10/06 (22:49:37) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/10/08 (12:00:49) | ===> btop++ v.1.4.0
2024/10/08 (12:00:49) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/10/08 (12:56:49) | ===> btop++ v.1.4.0
2024/10/08 (12:56:49) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/10/08 (22:16:50) | ===> btop++ v.1.4.0
2024/10/08 (22:16:50) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/10/09 (22:49:22) | ===> btop++ v.1.4.0
2024/10/09 (22:49:22) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/10/09 (23:46:01) | ===> btop++ v.1.4.0
2024/10/09 (23:46:01) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/10/13 (11:33:01) | ===> btop++ v.1.4.0
2024/10/13 (11:33:01) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/10/13 (13:37:54) | ===> btop++ v.1.4.0
2024/10/13 (13:37:54) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/10/13 (13:40:26) | ===> btop++ v.1.4.0
2024/10/13 (13:40:26) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/10/14 (08:55:03) | ===> btop++ v.1.4.0
2024/10/14 (08:55:03) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/10/14 (23:21:53) | ===> btop++ v.1.4.0
2024/10/14 (23:21:53) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/10/15 (14:24:34) | ===> btop++ v.1.4.0
2024/10/15 (14:24:34) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/10/15 (20:43:45) | ===> btop++ v.1.2.3
2024/10/15 (20:43:45) | WARNING: Invalid box name(s) in shown_boxes!

2024/10/15 (20:44:01) | ===> btop++ v.1.4.0
2024/10/15 (20:44:01) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/10/16 (00:03:44) | ===> btop++ v.1.4.0
2024/10/16 (00:03:44) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/10/16 (00:06:29) | ===> btop++ v.1.4.0
2024/10/16 (00:06:29) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/10/16 (00:08:25) | ===> btop++ v.1.4.0
